I/O took                                                     1.329362 seconds

Sequential optimised block generation took                   0.590456 seconds
Openmp optimised block generation took                       0.140072 seconds
MPI optimised block generation took                          0.413790 seconds
Speed-up factor on optimised block generation with omp       4.215363
Speed-up factor on optimised block generation with MPI       0.338511

Sequential optimised collision detection took                0.102086 seconds
Parallel optimised collision detection took                  0.048840 seconds
MPI optimised collision detection took                       0.809119 seconds
Speed-up factor on openmp optimised collision detection is   2.090207
Speed-up factor on MPI optimisied collision detection is     0.060362

243496 Blocks, 30062 Collisions
