I/O took                                                     1.326380 seconds

Sequential optimised block generation took                   0.589829 seconds
Openmp optimised block generation took                       0.139924 seconds
MPI optimised block generation took                          0.436959 seconds
Speed-up factor on optimised block generation with omp       4.215356
Speed-up factor on optimised block generation with MPI       0.320222

Sequential optimised collision detection took                0.089876 seconds
Parallel optimised collision detection took                  0.042613 seconds
MPI optimised collision detection took                       0.817157 seconds
Speed-up factor on openmp optimised collision detection is   2.109145
Speed-up factor on MPI optimisied collision detection is     0.052147

243496 Blocks, 35186 Collisions
