I/O took                                                     1.326894 seconds

Sequential optimised block generation took                   0.591053 seconds
Openmp optimised block generation took                       0.153670 seconds
MPI optimised block generation took                         68.007649 seconds
Speed-up factor on optimised block generation with omp       3.846242
Speed-up factor on optimised block generation with MPI       0.002260

Sequential optimised collision detection took                0.102910 seconds
Parallel optimised collision detection took                  0.048355 seconds
MPI optimised collision detection took                       0.857425 seconds
Speed-up factor on openmp optimised collision detection is   2.128231
Speed-up factor on MPI optimisied collision detection is     0.056395

243496 Blocks, 33195 Collisions
