I/O took                                                     1.331897 seconds

Sequential optimised block generation took                   0.589424 seconds
Openmp optimised block generation took                       0.139852 seconds
MPI optimised block generation took                         66.774956 seconds
Speed-up factor on optimised block generation with omp       4.214633
Speed-up factor on optimised block generation with MPI       0.002094

Sequential optimised collision detection took                0.102171 seconds
Parallel optimised collision detection took                  0.048259 seconds
MPI optimised collision detection took                       1.014590 seconds
Speed-up factor on openmp optimised collision detection is   2.117147
Speed-up factor on MPI optimisied collision detection is     0.047565

243496 Blocks, 41812 Collisions
