I/O took                                                     1.319701 seconds

Sequential optimised block generation took                   0.591869 seconds
Openmp optimised block generation took                       0.154054 seconds
MPI optimised block generation took                          0.447271 seconds
Speed-up factor on optimised block generation with omp       3.841967
Speed-up factor on optimised block generation with MPI       0.344430

Sequential optimised collision detection took                0.102476 seconds
Parallel optimised collision detection took                  0.048346 seconds
MPI optimised collision detection took                       0.803369 seconds
Speed-up factor on openmp optimised collision detection is   2.119620
Speed-up factor on MPI optimisied collision detection is     0.060179

243496 Blocks, 29682 Collisions
