I/O took                                                     1.334292 seconds

Sequential optimised block generation took                   0.592183 seconds
Openmp optimised block generation took                       0.154427 seconds
MPI optimised block generation took                          0.424563 seconds
Speed-up factor on optimised block generation with omp       3.834715
Speed-up factor on optimised block generation with MPI       0.363731

Sequential optimised collision detection took                0.102476 seconds
Parallel optimised collision detection took                  0.048436 seconds
MPI optimised collision detection took                       0.824133 seconds
Speed-up factor on openmp optimised collision detection is   2.115690
Speed-up factor on MPI optimisied collision detection is     0.058773

243496 Blocks, 31203 Collisions
